ticker,Name,Sector,Price,Dividend Yield,5-Year Average Dividend Yield,Dividends Per Share,Market Cap,Trailing PE Ratio,Payout Ratio,Beta,52 Week High,52 Week Low
ATSG,"Air Transport Services Group, Inc.",Industrials,$16.45,0.0%,0.0%,$0.00,"$1,080",59.3,0.0%,0.86,$22.18,$11.62
ATXS,"Astria Therapeutics, Inc.",N/A,$12.30,0.0%,0.0%,$0.00,$344,N/A,0.0%,1.13,$16.90,$4.26
AUB,Atlantic Union Bankshares Corp,Financial Services,$39.55,3.2%,3.1%,$1.28,"$3,552",20.4,59.8%,0.59,$42.13,$25.89
AUPH,Aurinia Pharmaceuticals Inc.,Healthcare,$6.76,0.0%,0.0%,$0.00,$967,N/A,0.0%,1.61,$10.24,$4.71
AUR,"Aurora Innovation, Inc.",N/A,$4.30,0.0%,0.0%,$0.00,"$6,745",N/A,0.0%,2.51,$5.25,$1.60
AURA,"Aura Biosciences, Inc.",N/A,$7.59,0.0%,0.0%,$0.00,$377,N/A,0.0%,1.26,$12.35,$5.99
AVA,AVISTA CORP,Utilities,$38.92,4.9%,4.5%,$1.88,"$3,062",15.8,75.6%,0.45,$39.50,$28.99
AVAH,"Aveanna Healthcare Holdings, Inc.",N/A,$5.60,0.0%,0.0%,$0.00,"$1,082",N/A,0.0%,1.54,$5.87,$0.85
AVAV,AeroVironment Inc,Industrials,$185.68,0.0%,0.0%,$0.00,"$5,222",87.5,0.0%,1.15,$224.00,$93.89
AVD,AMERICAN VANGUARD CORP,Basic Materials,$5.88,2.0%,1.1%,$0.12,$169,N/A,N/A,0.62,$14.91,$4.95
